#nucleus-nld-mass-strength-omp 167Bi-1-1-1-1
      E       f(M1)        f(E1)        T(M1)        T(E1)
2.80000E+00 4.74245E-09 4.70864E-08 6.54120E-07 6.49455E-06
3.00000E+00 5.28116E-09 5.10087E-08 8.95928E-07 8.65342E-06
3.20000E+00 5.87268E-09 5.50573E-08 1.20911E-06 1.13356E-05
3.40000E+00 6.52497E-09 5.92444E-08 1.61137E-06 1.46307E-05
3.60000E+00 7.24709E-09 6.35832E-08 2.12447E-06 1.86393E-05
3.80000E+00 8.04932E-09 6.80879E-08 2.77517E-06 2.34747E-05
4.00000E+00 8.94321E-09 7.27735E-08 3.59628E-06 2.92640E-05
4.50000E+00 1.16659E-08 8.53910E-08 6.67938E-06 4.88911E-05
5.00000E+00 1.52657E-08 9.95448E-08 1.19896E-05 7.81823E-05
5.50000E+00 1.99156E-08 1.15605E-07 2.08191E-05 1.20850E-04
6.00000E+00 2.54746E-08 1.34039E-07 3.45733E-05 1.81914E-04
6.50000E+00 3.09696E-08 1.55443E-07 5.34386E-05 2.68220E-04
7.00000E+00 3.43373E-08 1.80588E-07 7.40015E-05 3.89191E-04
7.50000E+00 3.37139E-08 2.10488E-07 8.93662E-05 5.57945E-04
8.00000E+00 2.95142E-08 2.46491E-07 9.49470E-05 7.92958E-04
8.50000E+00 2.39174E-08 2.90411E-07 9.22891E-05 1.12060E-03
9.00000E+00 1.86887E-08 3.44728E-07 8.56023E-05 1.57901E-03
9.50000E+00 1.44796E-08 4.12857E-07 7.80022E-05 2.22408E-03
1.00000E+01 1.12892E-08 4.99550E-07 7.09318E-05 3.13876E-03
1.05000E+01 8.91394E-09 6.11406E-07 6.48362E-05 4.44711E-03
1.10000E+01 7.14257E-09 7.57467E-07 5.97327E-05 6.33464E-03
1.15000E+01 5.80759E-09 9.49544E-07 5.54969E-05 9.07379E-03
1.20000E+01 4.78739E-09 1.20119E-06 5.19783E-05 1.30417E-02
1.25000E+01 3.99614E-09 1.52235E-06 4.90400E-05 1.86820E-02
